ts,room,seq,bytes,rtt_ms,srtt_ms,rto_ms,cwnd,ssthresh,event,algo
1763754998.3011222,3815,74,4096,0.07343292236328125,0.08073343369553167,0.10738870021550934,14.091444087754454,8.0,ACK,reno
1763754998.3012273,3815,75,4096,0.08487701416015625,0.08125138125360974,0.10538641160821757,14.162409135323212,8.0,ACK,reno
1763754998.3013208,3815,76,4096,0.07343292236328125,0.08027407389231868,0.10619380554860305,14.23301859099173,8.0,ACK,reno
1763754998.3014247,3815,77,4096,0.08416175842285156,0.08076003445863529,0.10408751773138145,14.303277755877028,8.0,ACK,reno
1763754998.301518,3815,78,4096,0.07343292236328125,0.07984414544671603,0.10466686999662969,14.373191800550398,8.0,ACK,reno
1763754998.3016217,3815,79,4096,0.08416175842285156,0.08038384706873297,0.10331850345730376,14.442765769497344,8.0,ACK,reno
1763754998.3017151,3815,80,4096,0.07319450378417969,0.0794851791581638,0.10387551473414516,14.512004585383423,8.0,ACK,reno
1763754998.301819,3815,81,4096,0.08416175842285156,0.08006975156624978,0.10303908251292357,14.580913053136197,8.0,ACK,reno
1763754998.301913,3815,82,4096,0.07414817810058594,0.0793295548830418,0.10247812655871098,14.649495863852904,8.0,ACK,reno
1763754998.3020172,3815,83,4096,0.08463859558105469,0.07999318497029341,0.10266365442505818,14.717757598542864,8.0,ACK,reno
1763754998.3021107,3815,84,4096,0.07390975952148438,0.07923275678919228,0.1023190343290749,14.785702731713084,8.0,ACK,reno
1763754998.3022146,3815,85,4096,0.08440017700195312,0.07987868431578739,0.10236081268346019,14.853335634805012,8.0,ACK,reno
1763754998.3023083,3815,86,4096,0.07343292236328125,0.07907296407172412,0.10238032229998487,14.920660579489946,8.0,ACK,reno
1763754998.302414,3815,87,4096,0.08511543273925781,0.07982827265516583,0.10335125999389508,14.987681740830121,8.0,ACK,reno
1763754998.3025537,3815,88,4096,0.11515617370605469,0.08424426028652694,0.13721440184146272,15.054403200312127,8.0,ACK,reno
1763754998.3026938,3815,89,4096,0.1125335693359375,0.08778042391770326,0.15579733913331567,15.120828948758884,8.0,ACK,reno
1763754998.302809,3815,90,4096,0.08845329284667969,0.08786453253382531,0.13955008787451104,15.186962889126095,8.0,ACK,reno
1763754998.3029392,3815,91,4096,0.10395050048828125,0.0898752785281323,0.14472541298810254,15.252808839188697,8.0,ACK,reno
1763754998.3030508,3815,92,4096,0.08487701416015625,0.0892504954821353,0.13538636069508903,15.318370534122598,8.0,ACK,reno
1763754998.3031766,3815,93,4096,0.10132789611816406,0.0907601705616389,0.13743947010738297,15.383651628986602,8.0,ACK,reno
1763754998.3032918,3815,94,4096,0.08797645568847656,0.09041220620249361,0.128205395734964,15.448655701109228,8.0,ACK,reno
1763754998.303414,3815,95,4096,0.09274482727050781,0.0907037838359954,0.12138129705336238,15.513386252384844,8.0,ACK,reno
1763754998.3035207,3815,96,4096,0.08034706115722656,0.08940919350114929,0.12277405109294336,15.577846711483275,8.0,ACK,reno
1763754998.303637,3815,97,4096,0.09131431579589844,0.08964733378799293,0.11657609927658763,15.642040435976844,8.0,ACK,reno
1763754998.3037374,3815,98,4096,0.07390975952148438,0.08768013700467936,0.12361428538763394,15.705970714388604,8.0,ACK,reno
1763754998.3038766,3815,99,4096,0.11348724365234375,0.09090602533563741,0.14366374327051773,15.769640768165278,8.0,ACK,reno
1763754998.3039844,3815,100,4096,0.08130073547363281,0.08970536410288683,0.13887894241605167,15.833053753578284,8.0,ACK,reno
1763754998.3041036,3815,101,4096,0.09298324584960938,0.09011509932122715,0.1302731648028233,15.896212763556003,8.0,ACK,reno
1763754998.3042083,3815,102,4096,0.08106231689453125,0.08898350151789015,0.12815483305578318,15.959120829450328,8.0,ACK,reno
1763754998.3043287,3815,103,4096,0.09012222290039062,0.08912584169070271,0.11964306172662295,16.021780922740344,8.0,ACK,reno
1763754998.3044305,3815,104,4096,0.07748603820800781,0.08767086625536585,0.12219858476500094,16.084195956675845,8.0,ACK,reno
1763754998.304541,3815,105,4096,0.08511543273925781,0.08735143706585236,0.1158026594641867,16.146368787863278,8.0,ACK,reno
1763754998.3046405,3815,106,4096,0.07486343383789062,0.08579043666235714,0.11961685668906963,16.208302217796557,8.0,ACK,reno
1763754998.3047493,3815,107,4096,0.08392333984375,0.08555704956003124,0.11279396139867276,16.269998994335065,8.0,ACK,reno
1763754998.3048563,3815,108,4096,0.08249282836914062,0.0851740219111699,0.10866592698104166,16.33146181313107,8.0,ACK,reno
1763754998.3049707,3815,109,4096,0.0896453857421875,0.08573294239004711,0.10782323502346852,16.39269331900864,8.0,ACK,reno
